epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7741,1.54486,3.43809,1.61749,0.00033,0.33333,0.04148,0.02072,2.22352,16.2122,1.78542,0.00012,0.00012,0.00012
2,115.351,1.44426,3.0266,1.50728,0.00033,0.33333,0.01847,0.00649,1.87305,13.8151,1.83582,0.000254852,0.000254852,0.000254852
3,171.736,1.31386,2.73802,1.42408,0.00033,0.33333,0.02176,0.01039,2.03839,12.0648,1.77626,0.00038416,0.00038416,0.00038416
4,227.946,1.39231,2.6066,1.36563,0.00033,0.33333,0.04478,0.01603,2.13952,12.0024,1.55356,0.000507924,0.000507924,0.000507924
5,295.419,1.30461,2.30669,1.28628,0.00033,0.33333,0.02691,0.01079,2.26245,10.7575,1.55597,0.000626144,0.000626144,0.000626144
6,364.509,1.26671,2.09487,1.24472,0.0005,0.5,0.02817,0.01197,1.8272,13.4442,1.30798,0.00073882,0.00073882,0.00073882
7,421.081,1.36226,2.20094,1.34905,0.00033,0.33333,0.00466,0.00276,2.20104,13.6699,1.55729,0.000845952,0.000845952,0.000845952
8,478.267,1.35974,2.06501,1.35184,0.00033,0.33333,0.00185,0.00113,2.02336,12.1843,1.5951,0.00094754,0.00094754,0.00094754
9,537.428,1.42135,2.34339,1.44303,0.00067,0.66667,0.00513,0.00376,2.32668,12.9124,1.91867,0.00104358,0.00104358,0.00104358
10,595.389,1.3208,2.01441,1.31824,0.0223,0.16667,0.01113,0.00453,2.20616,10.4157,1.90369,0.00113408,0.00113408,0.00113408
11,652.226,1.40915,2.07768,1.37839,0.04319,0.16667,0.0272,0.01424,1.99888,9.77552,1.51555,0.00121904,0.00121904,0.00121904
12,708.361,1.36131,2.0375,1.34375,0.00067,0.66667,0.00827,0.00503,1.88059,9.79258,1.57507,0.00129845,0.00129845,0.00129845
13,765.798,1.30077,2.22025,1.39929,0.03794,0.16667,0.0125,0.00642,1.95855,11.9638,1.5734,0.00137232,0.00137232,0.00137232
14,822.809,1.33884,1.88746,1.33002,0.06466,0.16667,0.023,0.01165,2.11435,13.279,1.81913,0.00144064,0.00144064,0.00144064
15,880.233,1.3205,2.07775,1.38992,0.10096,0.16667,0.02231,0.01271,1.71783,12.8751,1.50141,0.0014456,0.0014456,0.0014456
16,937.258,1.22475,1.90681,1.25151,0.07386,0.16667,0.0142,0.00821,2.03278,12.8679,1.64318,0.001406,0.001406,0.001406
17,994.278,1.22061,1.63457,1.25088,0.04643,0.16667,0.01209,0.00636,2.14567,18.4625,1.68501,0.0013664,0.0013664,0.0013664
18,1050.48,1.32552,1.81955,1.37518,0.01774,0.16667,0.01568,0.00816,1.91914,14.5288,1.57174,0.0013268,0.0013268,0.0013268
19,1111.41,1.26463,1.81846,1.29905,0.01246,0.16667,0.01126,0.00637,1.74638,10.9169,1.56912,0.0012872,0.0012872,0.0012872
20,1169.13,1.21713,1.67832,1.29853,0.07452,0.16667,0.03572,0.01148,2.1955,14.5542,1.87077,0.0012476,0.0012476,0.0012476
21,1239.45,1.22996,1.55725,1.28156,0.0977,0.16667,0.03819,0.0145,2.34739,15.1843,2.02696,0.001208,0.001208,0.001208
22,1317.38,1.15501,1.48508,1.21533,0.12239,0.5,0.07186,0.02034,2.39328,10.4697,1.975,0.0011684,0.0011684,0.0011684
23,1385.26,1.16147,1.49164,1.21222,0.1237,0.16667,0.04817,0.01769,2.23484,9.48,1.72747,0.0011288,0.0011288,0.0011288
